               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.05921,            0.027147,                   0,             0.85858,             0.73333,              0.8477,             0.30202,            0.021569,           0.0074553,                   0,            0.070441,           0.0032843,           0.0032843
                   1,            0.039548,            0.019173,                   0,             0.53112,             0.73333,             0.64413,             0.28642,             0.01774,           0.0050777,                   0,            0.040114,           0.0062901,           0.0062901
                   2,            0.034993,            0.017065,                   0,             0.44936,             0.86667,             0.69719,             0.29805,            0.022864,           0.0045893,                   0,            0.009456,           0.0089658,           0.0089658
                   3,            0.031352,            0.016466,                   0,             0.84299,                 0.8,             0.83182,             0.25428,            0.019838,           0.0038434,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.024951,             0.01556,                   0,             0.93302,             0.92892,              0.9608,             0.40731,            0.014712,           0.0044732,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.023786,            0.014986,                   0,             0.92006,                   1,              0.9825,             0.40832,            0.014367,           0.0040857,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.021693,            0.014473,                   0,              0.9316,             0.90911,             0.96904,             0.47932,            0.011524,           0.0045283,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.021272,             0.01435,                   0,             0.87682,             0.86667,             0.91701,              0.4962,            0.012624,           0.0039864,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.020954,            0.014008,                   0,             0.92128,             0.93333,             0.95791,             0.53405,            0.010999,             0.00396,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.018573,             0.01374,                   0,             0.99507,                   1,               0.995,             0.50921,            0.011543,           0.0044183,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.018809,            0.013704,                   0,               0.936,             0.97604,                0.97,             0.51195,            0.010784,           0.0044383,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.019982,            0.013095,                   0,             0.97879,                   1,               0.995,             0.60662,           0.0097341,           0.0038491,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.019881,             0.01309,                   0,             0.98533,                   1,               0.995,             0.55801,            0.010117,           0.0041895,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.019588,            0.013263,                   0,             0.98966,                   1,               0.995,             0.58514,           0.0099743,           0.0038549,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.018762,            0.012881,                   0,             0.98083,                   1,               0.995,             0.54023,            0.010199,           0.0038862,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.017671,            0.012624,                   0,             0.99012,                   1,               0.995,             0.52268,            0.010871,           0.0042503,                   0,             0.00307,             0.00307,             0.00307
                  16,             0.01762,            0.012408,                   0,             0.98877,                   1,               0.995,             0.56429,           0.0094908,           0.0037024,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.016614,            0.012424,                   0,             0.99294,                   1,               0.995,             0.56061,            0.010222,           0.0036137,                   0,             0.00208,             0.00208,             0.00208
                  18,             0.01795,            0.012166,                   0,             0.99914,                   1,               0.995,             0.50503,            0.011344,           0.0037665,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.017568,            0.012396,                   0,             0.99609,                   1,               0.995,             0.52185,            0.010557,           0.0038154,                   0,             0.00109,             0.00109,             0.00109
